userID,region,name,email,joinDate
wboonsitanara,North America,Wunwan Boonsitanara,w@gmail.com,12/12/2023
tchen,South America,Truanne Chen,l@gmail.com,12/13/2023
afels,North America,Alex Fels,q@gmail.com,12/14/2023
cmay,South America,Cassie May,z@gmail.com,12/15/2023
lhariharan,South America,Lok Hariharan,m@gmail.com,12/16/2023
aqin,North America,Alex Qin,c@gmail.com,12/17/2023
rsooria,North America,Raja Sooriamurthi,r@gmail.com,12/18/2023
savery,South America,Sarah Avery,s@gmail.com,12/19/2023
dkosbie,North America,David Kosbie,d@gmail.com,12/20/2023
aquint,South America,Alex Quintana,a@gmail.com,12/21/2023
jquese,North America,Jeria Quesenbery,j@gmail.com,12/22/2023
namma,South America,Namma,n@gmail.com,12/23/2023
